license,name,entity,estab_type,address,city,zip,borough,sqft,size_class,is_supermarket,lon,lat
719003,JL PLUM TREE,JLPLUM TREE LLC,AC,1156 FLATBUSH AVE,BROOKLYN,11226,Brooklyn,2000,Corner store or specialty,True,-73.95721,40.64209
719006,7 ELEVEN STORE #35710A,DM CHAUDHARI LLC,AC,311 BROADWAY###,NEW YORK,10007,Manhattan,2000,Other licensed food retailer,False,-74.00517,40.7155
719007,HUDSON #1120,HUDSON GROUP (HG) RETAIL LLC,A,625 8TH AVE ####,NEW YORK,10018,Manhattan,250,Corner store or specialty,True,-73.99036,40.75646
719008,HUDSON #1111,HUDSON GROUP (HG) RETAIL LLC,A,625 8TH AVE ####,NEW YORK,10018,Manhattan,,Size unknown,True,-73.99036,40.75646
719010,HUDSON #1116,HUDSON GROUP (HG) RETAIL LLC,A,625 8TH AVE,NEW YORK,10018,Manhattan,,Size unknown,True,-73.99036,40.75646
719011,HUDSON #1114,HUDSON GROUP (HG) RETAIL LLC,A,625 8TH AVE ####,NEW YORK,10018,Manhattan,100,Corner store or specialty,True,-73.99036,40.75646
719016,REEMYS DELI & GRILL,REEMYS INC,AC,1524 UNIONPORT RD,BRONX,10462,Bronx,1500,Other licensed food retailer,False,-73.85687,40.83668
719025,QUICK STOP,20 AVENUE GROCERY INC,A,6824 20TH AVE,BROOKLYN,11204,Brooklyn,1500,Corner store or specialty,True,-73.98813,40.61434
719026,FAMILY DOLLAR STORE #31618,FAMILY DOLLAR STORES OF NEW YORK LLC,A,415 SOUNDVIEW AVE,BRONX,10473,Bronx,8000,Other licensed food retailer,False,-73.85846,40.8141
719032,PREET SUPER BAZAR,PREET SUPER BAZAR CORP,AC,237-08 BRADDOCK AVE,BELLEROSE,11426,Queens,3000,Small supermarket or grocer,True,-73.73097,40.72721
719034,72 ST GROCERY,72ST GROCERY INC,A,7206 13TH AVE,BROOKLYN,11228,Brooklyn,3000,Small supermarket or grocer,True,-74.0058,40.62184
719044,PREFERRED PHARMACY,LADA PHARMACY INC,A,3 EAST 115TH ST,NEW YORK,10029,Manhattan,2000,Other licensed food retailer,False,-73.94644,40.79974
719063,EL GIRASOL MINI MARKET,EL GIRASOL MINI MARKET CORP,AC,3214 WHITE PLAINS RD,BRONX,10467,Bronx,1000,Corner store or specialty,True,-73.86714,40.87197
719066,BEST DELI GROCERY,MARMOLEJOS ALEXIS D,AC,1001 WYCKOFF AVE,RIDGEWOOD,11385,Queens,2000,Corner store or specialty,True,-73.90453,40.69585
